node_type,weight_strength,lateral_mode,input_type,layer1_rsync,layer1_mean_sc,layer1_max_sc,layer1_sparseness,layer1_rate_of_fire,layer2_rsync,layer2_mean_sc,layer2_max_sc,layer2_sparseness,layer2_rate_of_fire,layer3_rsync,layer3_mean_sc,layer3_max_sc,layer3_sparseness,layer3_rate_of_fire
LIF,0.2,Clustered,weakly_distributed,0.007571252178676505,7.59,24.0,0.9973969849246231,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.2,Clustered,strongly_distributed,0.012180494910641795,14.32,52.0,0.9906331658291457,14.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.2,Clustered,weakly_clustered,0.009169981908105846,9.14,28.0,0.9958391959798994,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.2,Clustered,strongly_clustered,0.014253644550779505,19.91,56.0,0.9850150753768845,19.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.2,Random,weakly_distributed,0.007571252178676505,7.59,24.0,0.9973969849246231,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.2,Random,strongly_distributed,0.012704913267691331,14.72,52.0,0.9902311557788945,14.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.2,Random,weakly_clustered,0.009169981908105846,9.14,28.0,0.9958391959798994,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.2,Random,strongly_clustered,0.014431138329998545,20.42,56.0,0.9845025125628141,20.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Clustered,weakly_distributed,0.007075740994568771,6.83,24.0,0.9981608040201005,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Clustered,strongly_distributed,0.011798163288099775,13.3,52.0,0.9916582914572865,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Clustered,weakly_clustered,0.008812853539076189,8.63,28.0,0.9963517587939699,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Clustered,strongly_clustered,0.013144555265404147,18.52,56.0,0.9864120603015075,18.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Random,weakly_distributed,0.007571252178676505,7.59,24.0,0.9973969849246231,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Random,strongly_distributed,0.012704913267691331,14.72,52.0,0.9902311557788945,14.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Random,weakly_clustered,0.009169981908105846,9.14,28.0,0.9958391959798994,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,0.5,Random,strongly_clustered,0.014431138329998545,20.42,56.0,0.9845025125628141,20.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Clustered,weakly_distributed,0.006696156078764847,6.07,22.0,0.9989246231155778,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Clustered,strongly_distributed,0.013825321970978282,14.36,54.0,0.9905929648241205,14.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Clustered,weakly_clustered,0.009118474691248072,8.7,28.0,0.9962814070351759,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Clustered,strongly_clustered,0.013458716500029493,18.53,58.0,0.9864020100502512,18.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Random,weakly_distributed,0.007571252178676505,7.59,24.0,0.9973969849246231,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Random,strongly_distributed,0.01279153134800498,14.79,52.0,0.9901608040201005,14.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Random,weakly_clustered,0.009169981908105846,9.14,28.0,0.9958391959798994,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIF,1.0,Random,strongly_clustered,0.014613152854152245,20.5,56.0,0.9844221105527639,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
